"TerminalReward","Model"
180,"greedy"
171,"greedy"
160,"greedy"
160,"greedy"
155,"greedy"
177,"greedy"
175,"greedy"
180,"greedy"
180,"greedy"
156,"greedy"
180,"greedy"
178,"greedy"
159,"greedy"
155,"greedy"
160,"greedy"
180,"greedy"
140,"greedy"
160,"greedy"
180,"greedy"
180,"greedy"
155,"greedy"
180,"greedy"
177,"greedy"
172,"greedy"
155,"greedy"
176,"greedy"
130,"greedy"
180,"greedy"
176,"greedy"
180,"greedy"
180,"greedy"
159,"greedy"
175,"greedy"
180,"greedy"
155,"greedy"
147,"greedy"
177,"greedy"
177,"greedy"
159,"greedy"
180,"greedy"
171,"greedy"
176,"greedy"
178,"greedy"
130,"greedy"
155,"greedy"
179,"greedy"
86,"greedy"
180,"greedy"
175,"greedy"
164,"greedy"
170,"greedy"
130,"greedy"
180,"greedy"
180,"greedy"
164,"greedy"
135,"greedy"
180,"greedy"
140,"greedy"
180,"greedy"
176,"greedy"
131,"greedy"
156,"greedy"
105,"greedy"
173,"greedy"
175,"greedy"
178,"greedy"
163,"greedy"
160,"greedy"
156,"greedy"
180,"greedy"
164,"greedy"
174,"greedy"
152,"greedy"
177,"greedy"
180,"greedy"
145,"greedy"
164,"greedy"
160,"greedy"
157,"greedy"
179,"greedy"
180,"greedy"
155,"greedy"
160,"greedy"
163,"greedy"
180,"greedy"
176,"greedy"
164,"greedy"
176,"greedy"
178,"greedy"
175,"greedy"
164,"greedy"
180,"greedy"
180,"greedy"
180,"greedy"
173,"greedy"
178,"greedy"
175,"greedy"
139,"greedy"
177,"greedy"
135,"greedy"
168,"greedy"
115,"greedy"
178,"greedy"
168,"greedy"
180,"greedy"
166,"greedy"
155,"greedy"
180,"greedy"
175,"greedy"
180,"greedy"
175,"greedy"
160,"greedy"
175,"greedy"
180,"greedy"
133,"greedy"
178,"greedy"
175,"greedy"
140,"greedy"
155,"greedy"
180,"greedy"
160,"greedy"
175,"greedy"
160,"greedy"
173,"greedy"
177,"greedy"
180,"greedy"
180,"greedy"
158,"greedy"
180,"greedy"
116,"greedy"
180,"greedy"
180,"greedy"
164,"greedy"
177,"greedy"
180,"greedy"
160,"greedy"
155,"greedy"
178,"greedy"
180,"greedy"
177,"greedy"
161,"greedy"
180,"greedy"
180,"greedy"
150,"greedy"
180,"greedy"
130,"greedy"
180,"greedy"
180,"greedy"
180,"greedy"
161,"greedy"
155,"greedy"
153,"greedy"
176,"greedy"
165,"greedy"
160,"greedy"
160,"greedy"
163,"greedy"
155,"greedy"
180,"greedy"
155,"greedy"
164,"greedy"
180,"greedy"
176,"greedy"
160,"greedy"
176,"greedy"
178,"greedy"
175,"greedy"
174,"greedy"
135,"greedy"
177,"greedy"
180,"greedy"
175,"greedy"
162,"greedy"
178,"greedy"
180,"greedy"
180,"greedy"
152,"greedy"
160,"greedy"
177,"greedy"
177,"greedy"
159,"greedy"
155,"greedy"
176,"greedy"
160,"greedy"
180,"greedy"
176,"greedy"
178,"greedy"
175,"greedy"
135,"greedy"
135,"greedy"
155,"greedy"
135,"greedy"
176,"greedy"
180,"greedy"
151,"greedy"
147,"greedy"
164,"greedy"
176,"greedy"
135,"greedy"
176,"greedy"
178,"greedy"
180,"greedy"
176,"greedy"
172,"greedy"
155,"greedy"
178,"greedy"
158,"greedy"
175,"greedy"
151,"greedy"
173,"greedy"
180,"greedy"
180,"greedy"
155,"greedy"
175,"greedy"
179,"greedy"
180,"greedy"
180,"greedy"
163,"greedy"
135,"greedy"
159,"greedy"
135,"greedy"
160,"greedy"
141,"greedy"
180,"greedy"
176,"greedy"
150,"greedy"
180,"greedy"
175,"greedy"
160,"greedy"
135,"greedy"
168,"greedy"
160,"greedy"
172,"greedy"
160,"greedy"
175,"greedy"
175,"greedy"
175,"greedy"
180,"greedy"
180,"greedy"
135,"greedy"
152,"greedy"
178,"greedy"
180,"greedy"
165,"greedy"
180,"greedy"
176,"greedy"
151,"greedy"
180,"greedy"
180,"greedy"
155,"greedy"
180,"greedy"
176,"greedy"
165,"greedy"
152,"greedy"
155,"greedy"
175,"greedy"
155,"greedy"
180,"greedy"
175,"greedy"
164,"greedy"
164,"greedy"
175,"greedy"
162,"greedy"
180,"greedy"
180,"greedy"
105,"greedy"
175,"greedy"
175,"greedy"
180,"greedy"
140,"greedy"
135,"greedy"
175,"greedy"
180,"greedy"
180,"greedy"
164,"greedy"
180,"greedy"
130,"greedy"
176,"greedy"
180,"greedy"
156,"greedy"
160,"greedy"
178,"greedy"
150,"greedy"
151,"greedy"
176,"greedy"
175,"greedy"
160,"greedy"
156,"greedy"
180,"greedy"
175,"greedy"
180,"greedy"
165,"greedy"
171,"greedy"
165,"greedy"
175,"greedy"
135,"greedy"
177,"greedy"
177,"greedy"
179,"greedy"
175,"greedy"
150,"greedy"
110,"greedy"
171,"greedy"
160,"greedy"
180,"greedy"
157,"greedy"
160,"greedy"
140,"greedy"
165,"greedy"
180,"greedy"
177,"greedy"
135,"greedy"
176,"greedy"
180,"greedy"
160,"greedy"
164,"greedy"
176,"greedy"
131,"greedy"
172,"greedy"
176,"greedy"
180,"greedy"
180,"greedy"
176,"greedy"
156,"greedy"
180,"greedy"
176,"greedy"
155,"greedy"
175,"greedy"
180,"greedy"
128,"greedy"
144,"greedy"
164,"greedy"
180,"greedy"
160,"greedy"
180,"greedy"
175,"greedy"
177,"greedy"
135,"greedy"
157,"greedy"
176,"greedy"
180,"greedy"
178,"greedy"
180,"greedy"
180,"greedy"
175,"greedy"
150,"greedy"
180,"greedy"
166,"greedy"
160,"greedy"
131,"greedy"
180,"greedy"
180,"greedy"
151,"greedy"
180,"greedy"
162,"greedy"
180,"greedy"
132,"greedy"
175,"greedy"
164,"greedy"
139,"greedy"
180,"greedy"
180,"greedy"
178,"greedy"
180,"greedy"
177,"greedy"
160,"greedy"
180,"greedy"
170,"greedy"
164,"greedy"
154,"greedy"
156,"greedy"
