"TerminalReward","Model"
184,"greedy"
182,"greedy"
182,"greedy"
163,"greedy"
176,"greedy"
172,"greedy"
176,"greedy"
182,"greedy"
176,"greedy"
188,"greedy"
90,"greedy"
176,"greedy"
176,"greedy"
173,"greedy"
146,"greedy"
154,"greedy"
123,"greedy"
188,"greedy"
163,"greedy"
188,"greedy"
184,"greedy"
176,"greedy"
176,"greedy"
176,"greedy"
129,"greedy"
120,"greedy"
186,"greedy"
155,"greedy"
178,"greedy"
163,"greedy"
154,"greedy"
188,"greedy"
186,"greedy"
157,"greedy"
188,"greedy"
124,"greedy"
176,"greedy"
99,"greedy"
188,"greedy"
176,"greedy"
109,"greedy"
188,"greedy"
106,"greedy"
127,"greedy"
84,"greedy"
165,"greedy"
127,"greedy"
162,"greedy"
188,"greedy"
127,"greedy"
117,"greedy"
188,"greedy"
180,"greedy"
173,"greedy"
123,"greedy"
182,"greedy"
188,"greedy"
188,"greedy"
163,"greedy"
93,"greedy"
188,"greedy"
167,"greedy"
180,"greedy"
188,"greedy"
163,"greedy"
155,"greedy"
182,"greedy"
93,"greedy"
87,"greedy"
118,"greedy"
173,"greedy"
127,"greedy"
106,"greedy"
93,"greedy"
154,"greedy"
173,"greedy"
173,"greedy"
116,"greedy"
90,"greedy"
176,"greedy"
188,"greedy"
154,"greedy"
188,"greedy"
150,"greedy"
165,"greedy"
154,"greedy"
154,"greedy"
154,"greedy"
116,"greedy"
81,"greedy"
148,"greedy"
158,"greedy"
182,"greedy"
127,"greedy"
180,"greedy"
154,"greedy"
115,"greedy"
188,"greedy"
159,"greedy"
129,"greedy"
188,"greedy"
184,"greedy"
163,"greedy"
182,"greedy"
180,"greedy"
154,"greedy"
184,"greedy"
176,"greedy"
188,"greedy"
182,"greedy"
124,"greedy"
182,"greedy"
176,"greedy"
176,"greedy"
176,"greedy"
127,"greedy"
179,"greedy"
188,"greedy"
99,"greedy"
184,"greedy"
164,"greedy"
163,"greedy"
166,"greedy"
188,"greedy"
167,"greedy"
127,"greedy"
124,"greedy"
127,"greedy"
150,"greedy"
178,"greedy"
121,"greedy"
188,"greedy"
180,"greedy"
188,"greedy"
123,"greedy"
186,"greedy"
127,"greedy"
182,"greedy"
184,"greedy"
154,"greedy"
81,"greedy"
178,"greedy"
90,"greedy"
188,"greedy"
154,"greedy"
154,"greedy"
188,"greedy"
178,"greedy"
178,"greedy"
166,"greedy"
188,"greedy"
182,"greedy"
173,"greedy"
170,"greedy"
154,"greedy"
163,"greedy"
188,"greedy"
139,"greedy"
178,"greedy"
127,"greedy"
124,"greedy"
139,"greedy"
112,"greedy"
178,"greedy"
180,"greedy"
188,"greedy"
115,"greedy"
178,"greedy"
102,"greedy"
182,"greedy"
100,"greedy"
188,"greedy"
182,"greedy"
188,"greedy"
172,"greedy"
127,"greedy"
178,"greedy"
188,"greedy"
112,"greedy"
188,"greedy"
166,"greedy"
172,"greedy"
127,"greedy"
91,"greedy"
123,"greedy"
124,"greedy"
188,"greedy"
188,"greedy"
169,"greedy"
188,"greedy"
178,"greedy"
173,"greedy"
184,"greedy"
116,"greedy"
127,"greedy"
179,"greedy"
188,"greedy"
118,"greedy"
114,"greedy"
188,"greedy"
188,"greedy"
184,"greedy"
176,"greedy"
188,"greedy"
178,"greedy"
75,"greedy"
188,"greedy"
127,"greedy"
179,"greedy"
173,"greedy"
124,"greedy"
182,"greedy"
184,"greedy"
173,"greedy"
188,"greedy"
170,"greedy"
182,"greedy"
112,"greedy"
178,"greedy"
173,"greedy"
96,"greedy"
188,"greedy"
90,"greedy"
188,"greedy"
120,"greedy"
117,"greedy"
178,"greedy"
188,"greedy"
186,"greedy"
167,"greedy"
188,"greedy"
188,"greedy"
155,"greedy"
188,"greedy"
188,"greedy"
118,"greedy"
154,"greedy"
188,"greedy"
173,"greedy"
163,"greedy"
176,"greedy"
115,"greedy"
170,"greedy"
115,"greedy"
163,"greedy"
170,"greedy"
170,"greedy"
186,"greedy"
169,"greedy"
188,"greedy"
176,"greedy"
188,"greedy"
92,"greedy"
178,"greedy"
90,"greedy"
170,"greedy"
124,"greedy"
154,"greedy"
157,"greedy"
160,"greedy"
167,"greedy"
182,"greedy"
188,"greedy"
188,"greedy"
179,"greedy"
154,"greedy"
180,"greedy"
146,"greedy"
127,"greedy"
186,"greedy"
145,"greedy"
120,"greedy"
145,"greedy"
164,"greedy"
184,"greedy"
188,"greedy"
188,"greedy"
179,"greedy"
178,"greedy"
127,"greedy"
182,"greedy"
171,"greedy"
186,"greedy"
188,"greedy"
127,"greedy"
94,"greedy"
179,"greedy"
188,"greedy"
180,"greedy"
82,"greedy"
188,"greedy"
161,"greedy"
188,"greedy"
154,"greedy"
148,"greedy"
186,"greedy"
127,"greedy"
124,"greedy"
176,"greedy"
173,"greedy"
188,"greedy"
170,"greedy"
163,"greedy"
182,"greedy"
186,"greedy"
188,"greedy"
188,"greedy"
170,"greedy"
146,"greedy"
163,"greedy"
127,"greedy"
109,"greedy"
146,"greedy"
179,"greedy"
184,"greedy"
178,"greedy"
127,"greedy"
176,"greedy"
179,"greedy"
93,"greedy"
188,"greedy"
148,"greedy"
167,"greedy"
173,"greedy"
188,"greedy"
188,"greedy"
169,"greedy"
188,"greedy"
167,"greedy"
93,"greedy"
170,"greedy"
176,"greedy"
182,"greedy"
188,"greedy"
148,"greedy"
188,"greedy"
115,"greedy"
188,"greedy"
188,"greedy"
154,"greedy"
173,"greedy"
179,"greedy"
163,"greedy"
176,"greedy"
127,"greedy"
186,"greedy"
173,"greedy"
176,"greedy"
116,"greedy"
115,"greedy"
188,"greedy"
180,"greedy"
170,"greedy"
169,"greedy"
170,"greedy"
182,"greedy"
163,"greedy"
182,"greedy"
118,"greedy"
169,"greedy"
124,"greedy"
127,"greedy"
188,"greedy"
112,"greedy"
170,"greedy"
176,"greedy"
182,"greedy"
120,"greedy"
124,"greedy"
176,"greedy"
179,"greedy"
188,"greedy"
180,"greedy"
106,"greedy"
173,"greedy"
188,"greedy"
127,"greedy"
188,"greedy"
173,"greedy"
176,"greedy"
188,"greedy"
176,"greedy"
162,"greedy"
184,"greedy"
78,"greedy"
188,"greedy"
176,"greedy"
188,"greedy"
117,"greedy"
176,"greedy"
169,"greedy"
188,"greedy"
153,"greedy"
188,"greedy"
94,"greedy"
154,"greedy"
154,"greedy"
179,"greedy"
188,"greedy"
186,"greedy"
178,"greedy"
176,"greedy"
188,"greedy"
188,"greedy"
124,"greedy"
188,"greedy"
184,"greedy"
153,"greedy"
176,"greedy"
163,"greedy"
158,"greedy"
184,"greedy"
188,"greedy"
188,"greedy"
188,"greedy"
163,"greedy"
188,"greedy"
164,"greedy"
112,"greedy"
170,"greedy"
182,"greedy"
170,"greedy"
167,"greedy"
